-10	-10	0
-9.5	-10	0
-9	-10	0
-8.5	-10	0
-8	-10	0
-7.5	-10	0
-7	-10	0
-6.5	-10	0
-6	-10	0
-5.5	-10	0
-5	-10	0
-4.5	-10	0
-4	-10	0
-3.5	-10	0
-3	-10	0
-2.5	-10	0
-2	-10	0
-1.5	-10	0
-1	-10	0
-0.5	-10	0
0	-10	0
0.5	-10	0
1	-10	0
1.5	-10	0
2	-10	0
2.5	-10	0
3	-10	0
3.5	-10	0
4	-10	0
4.5	-10	0
5	-10	0
5.5	-10	0
6	-10	0
6.5	-10	0
7	-10	0
7.5	-10	0
8	-10	0
8.5	-10	0
9	-10	0
9.5	-10	0
10	-10	0
-10	-9.5	0
-9.5	-9.5	-0.000478889
-9	-9.5	-0.000985513
-8.5	-9.5	-0.0015357
-8	-9.5	-0.00214411
-7.5	-9.5	-0.0028235
-7	-9.5	-0.00358378
-6.5	-9.5	-0.00443116
-6	-9.5	-0.00536709
-5.5	-9.5	-0.0063874
-5	-9.5	-0.00748151
-4.5	-9.5	-0.00863197
-4	-9.5	-0.0098145
-3.5	-9.5	-0.0109985
-3	-9.5	-0.0121484
-2.5	-9.5	-0.0132254
-2	-9.5	-0.0141897
-1.5	-9.5	-0.0150035
-1	-9.5	-0.0156335
-0.5	-9.5	-0.0160534
0	-9.5	-0.0162456
0.5	-9.5	-0.0162031
1	-9.5	-0.0159294
1.5	-9.5	-0.0154382
2	-9.5	-0.0147526
2.5	-9.5	-0.0139028
3	-9.5	-0.0129243
3.5	-9.5	-0.0118544
4	-9.5	-0.0107304
4.5	-9.5	-0.00958685
5	-9.5	-0.0084537
5.5	-9.5	-0.00735504
6	-9.5	-0.0063085
6.5	-9.5	-0.00532507
7	-9.5	-0.00440948
7.5	-9.5	-0.00356081
8	-9.5	-0.00277332
8.5	-9.5	-0.00203731
9	-9.5	-0.00134
9.5	-9.5	-0.000666384
10	-9.5	0
-10	-9	0
-9.5	-9	-0.000975556
-9	-9	-0.00200714
-8.5	-9	-0.00312723
-8	-9	-0.00436597
-7.5	-9	-0.00574967
-7	-9	-0.007299
-6.5	-9	-0.00902708
-6	-9	-0.0109374
-5.5	-9	-0.0130221
-5	-9	-0.0152598
-4.5	-9	-0.0176154
-4	-9	-0.020039
-3.5	-9	-0.0224679
-3	-9	-0.0248286
-2.5	-9	-0.0270406
-2	-9	-0.0290216
-1.5	-9	-0.0306929
-1	-9	-0.0319853
-0.5	-9	-0.032844
0	-9	-0.0332331
0.5	-9	-0.0331377
1	-9	-0.0325655
1.5	-9	-0.0315455
2	-9	-0.0301259
2.5	-9	-0.0283701
3	-9	-0.0263516
3.5	-9	-0.0241486
4	-9	-0.0218384
4.5	-9	-0.0194921
5	-9	-0.0171715
5.5	-9	-0.0149256
6	-9	-0.0127902
6.5	-9	-0.0107871
7	-9	-0.0089254
7.5	-9	-0.00720251
8	-9	-0.00560618
8.5	-9	-0.00411618
9	-9	-0.00270617
9.5	-9	-0.00134533
10	-9	0
-10	-8.5	0
-9.5	-8.5	-0.00149478
-9	-8.5	-0.00307495
-8.5	-8.5	-0.00479117
-8	-8.5	-0.0066907
-7.5	-8.5	-0.00881507
-7	-8.5	-0.0111974
-6.5	-8.5	-0.0138593
-6	-8.5	-0.0168079
-5.5	-8.5	-0.0200322
-5	-8.5	-0.023501
-4.5	-8.5	-0.0271601
-4	-8.5	-0.0309327
-3.5	-8.5	-0.0347205
-3	-8.5	-0.0384076
-2.5	-8.5	-0.0418662
-2	-8.5	-0.0449654
-1.5	-8.5	-0.0475796
-1	-8.5	-0.0495982
-0.5	-8.5	-0.050934
0	-8.5	-0.0515297
0.5	-8.5	-0.0513622
1	-8.5	-0.0504443
1.5	-8.5	-0.0488232
2	-8.5	-0.0465766
2.5	-8.5	-0.0438066
3	-8.5	-0.0406314
3.5	-8.5	-0.0371758
4	-8.5	-0.0335626
4.5	-8.5	-0.0299046
5	-8.5	-0.026298
5.5	-8.5	-0.0228189
6	-8.5	-0.0195217
6.5	-8.5	-0.0164386
7	-8.5	-0.013582
7.5	-8.5	-0.0109461
8	-8.5	-0.00851051
8.5	-8.5	-0.00624275
9	-8.5	-0.0041012
9.5	-8.5	-0.00203773
10	-8.5	0
-10	-8	0
-9.5	-8	-0.00203861
-9	-8	-0.00419347
-8.5	-8	-0.00653567
-8	-8	-0.00913194
-7.5	-8	-0.0120416
-7	-8	-0.0153128
-6.5	-8	-0.0189785
-6	-8	-0.0230516
-5.5	-8	-0.0275205
-5	-8	-0.0323442
-4.5	-8	-0.0374495
-4	-8	-0.04273
-3.5	-8	-0.0480468
-3	-8	-0.0532346
-2.5	-8	-0.05811
-2	-8	-0.0624831
-1.5	-8	-0.0661719
-1	-8	-0.0690158
-0.5	-8	-0.0708882
0	-8	-0.0717065
0.5	-8	-0.0714381
1	-8	-0.0701025
1.5	-8	-0.0677697
2	-8	-0.0645539
2.5	-8	-0.0606051
3	-8	-0.0560956
3.5	-8	-0.0512073
4	-8	-0.0461174
4.5	-8	-0.0409869
5	-8	-0.0359515
5.5	-8	-0.0311169
6	-8	-0.0265562
6.5	-8	-0.0223113
7	-8	-0.0183957
7.5	-8	-0.0147981
8	-8	-0.0114869
8.5	-8	-0.00841472
9	-8	-0.00552229
9.5	-8	-0.00274176
10	-8	0
-10	-7.5	0
-9.5	-7.5	-0.00260529
-9	-7.5	-0.00535946
-8.5	-7.5	-0.00835692
-8	-7.5	-0.011687
-7.5	-7.5	-0.0154301
-7	-7.5	-0.0196534
-6.5	-7.5	-0.024405
-6	-7.5	-0.0297077
-5.5	-7.5	-0.0355519
-5	-7.5	-0.0418897
-4.5	-7.5	-0.0486285
-4	-7.5	-0.055629
-3.5	-7.5	-0.0627062
-3	-7.5	-0.0696352
-2.5	-7.5	-0.0761639
-2	-7.5	-0.0820295
-1.5	-7.5	-0.0869787
-1	-7.5	-0.0907881
-0.5	-7.5	-0.093282
0	-7.5	-0.0943466
0.5	-7.5	-0.0939376
1	-7.5	-0.0920839
1.5	-7.5	-0.0888845
2	-7.5	-0.0845007
2.5	-7.5	-0.079143
3	-7.5	-0.0730533
3.5	-7.5	-0.0664847
4	-7.5	-0.0596819
4.5	-7.5	-0.0528639
