-9.5	-9.5	0.000985513	0.000975556
-9	-9.5	0.00105681	0.00200714
-8.5	-9.5	0.0011586	0.00312723
-8	-9.5	0.0012878	0.00436597
-7.5	-9.5	0.00143967	0.00574967
-7	-9.5	0.00160766	0.007299
-6.5	-9.5	0.00178331	0.00902708
-6	-9.5	0.00195625	0.0109374
-5.5	-9.5	0.00211442	0.0130221
-5	-9.5	0.00224457	0.0152598
-4.5	-9.5	0.00233299	0.0176154
-4	-9.5	0.00236656	0.020039
-3.5	-9.5	0.00233394	0.0224679
-3	-9.5	0.00222686	0.0248286
-2.5	-9.5	0.00204126	0.0270406
-2	-9.5	0.00177814	0.0290216
-1.5	-9.5	0.00144382	0.0306929
-1	-9.5	0.00104983	0.0319853
-0.5	-9.5	0.000612097	0.032844
0	-9.5	0.000149765	0.0332331
0.5	-9.5	-0.000316257	0.0331377
1	-9.5	-0.000764947	0.0325655
1.5	-9.5	-0.0011768	0.0315455
2	-9.5	-0.00153534	0.0301259
2.5	-9.5	-0.00182831	0.0283701
3	-9.5	-0.00204847	0.0263516
3.5	-9.5	-0.00219386	0.0241486
4	-9.5	-0.00226752	0.0218384
4.5	-9.5	-0.00227669	0.0194921
5	-9.5	-0.0022318	0.0171715
5.5	-9.5	-0.00214519	0.0149256
6	-9.5	-0.00202997	0.0127902
6.5	-9.5	-0.00189902	0.0107871
7	-9.5	-0.00176426	0.0089254
7.5	-9.5	-0.00163616	0.00720251
8	-9.5	-0.00152351	0.00560618
8.5	-9.5	-0.00143332	0.00411618
9	-9.5	-0.00137092	0.00270617
9.5	-9.5	-0.00134	0.00134533
-9.5	-9	0.00200714	0.00101589
-9	-9	0.00215167	0.00208943
-8.5	-9	0.00235883	0.00325547
-8	-9	0.00262244	0.00454659
-7.5	-9	0.00293303	0.00599157
-7	-9	0.00327741	0.0076136
-6.5	-9	0.00363844	0.00942814
-6	-9	0.003995	0.0114408
-5.5	-9	0.00432241	0.0136448
-5	-9	0.00459329	0.0160194
-4.5	-9	0.00477916	0.0185281
-4	-9	0.00485257	0.0211182
-3.5	-9	0.0047896	0.023722
-3	-9	0.00457268	0.0262591
-2.5	-9	0.00419299	0.0286408
-2	-9	0.00365231	0.0307757
-1.5	-9	0.0029637	0.0325761
-1	-9	0.00215113	0.0339647
-0.5	-9	0.0012478	0.0348807
0	-9	0.000293684	0.0352841
0.5	-9	-0.000667608	0.0351591
1	-9	-0.00159225	0.034515
1.5	-9	-0.00243961	0.033385
2	-9	-0.0031754	0.031824
2.5	-9	-0.00377427	0.0299038
3	-9	-0.00422143	0.0277071
3.5	-9	-0.00451323	0.0253214
4	-9	-0.0046565	0.0228322
4.5	-9	-0.00466689	0.0203177
5	-9	-0.0045665	0.0178443
5.5	-9	-0.00438127	0.0154639
6	-9	-0.0041385	0.0132132
6.5	-9	-0.00386482	0.0111136
7	-9	-0.00358463	0.00917248
7.5	-9	-0.00331922	0.00738528
8	-9	-0.00308633	0.00573719
8.5	-9	-0.00290001	0.00420544
9	-9	-0.00277085	0.0027612
9.5	-9	-0.00270617	0.00137134
-9.5	-8.5	0.00307495	0.00106306
-9	-8.5	0.00329639	0.00218632
-8.5	-8.5	0.00361576	0.00340844
-8	-8.5	0.0040239	0.00476597
-7.5	-8.5	0.00450667	0.00629191
-7	-8.5	0.00504423	0.0080138
-6.5	-8.5	0.00561049	0.00995142
-6	-8.5	0.00617293	0.0121142
-5.5	-8.5	0.00669309	0.0144984
-5	-8.5	0.00712785	0.0170843
-4.5	-8.5	0.00743176	0.0198342
-4	-8.5	0.00756046	0.022691
-3.5	-8.5	0.00747485	0.0255789
-3	-8.5	0.0071457	0.028406
-2.5	-8.5	0.00655786	0.0310694
-2	-8.5	0.00571338	0.0334615
-1.5	-8.5	0.00463281	0.035479
-1	-8.5	0.00335441	0.0370305
-0.5	-8.5	0.00193148	0.0380441
0	-8.5	0.000428223	0.0384734
0.5	-8.5	-0.0010854	0.0383004
1	-8.5	-0.00253908	0.0375371
1.5	-8.5	-0.00386772	0.0362242
2	-8.5	-0.00501652	0.0344281
2.5	-8.5	-0.00594522	0.032235
3	-8.5	-0.00663087	0.029744
3.5	-8.5	-0.00706875	0.0270587
4	-8.5	-0.0072712	0.024279
4.5	-8.5	-0.00726466	0.0214947
5	-8.5	-0.00708564	0.01878
5.5	-8.5	-0.00677628	0.0161912
6	-8.5	-0.0063803	0.013766
6.5	-8.5	-0.00593972	0.0115242
7	-8.5	-0.00549253	0.00947032
7.5	-8.5	-0.00507145	0.00759555
8	-8.5	-0.00470335	0.00588068
8.5	-8.5	-0.00440931	0.00429854
9	-8.5	-0.00420502	0.00281613
9.5	-8.5	-0.0041012	0.00139643
-9.5	-8	0.00419347	0.00111051
-9	-8	0.00449705	0.00228452
-8.5	-8	0.00493848	0.00356575
-8	-8	0.00550592	0.00499628
-7.5	-8	0.00618085	0.00661507
-7	-8	0.00693691	0.00845607
-6.5	-8	0.00773884	0.0105457
-6	-8	0.00854198	0.0128998
-5.5	-8	0.00929252	0.0155197
-5	-8	0.00992908	0.0183887
-4.5	-8	0.0103858	0.0214684
-4	-8	0.0105973	0.0246963
-3.5	-8	0.0105047	0.0279856
-3	-8	0.0100632	0.0312276
-2.5	-8	0.00924849	0.0342977
-2	-8	0.00806193	0.0370641
-1.5	-8	0.00653263	0.0393991
-1	-8	0.00471626	0.0411898
-0.5	-8	0.00269076	0.042348
0	-8	0.000549954	0.0428169
0.5	-8	-0.00160398	0.0425754
1	-8	-0.00366848	0.0416396
1.5	-8	-0.00554861	0.0400613
2	-8	-0.00716459	0.0379241
2.5	-8	-0.00845833	0.0353363
3	-8	-0.00939775	0.0324219
3.5	-8	-0.0099782	0.029309
4	-8	-0.0102205	0.0261193
4.5	-8	-0.0101659	0.0229593
5	-8	-0.00986999	0.0199143
5.5	-8	-0.00939533	0.0170458
6	-8	-0.00880552	0.0143917
6.5	-8	-0.00816046	0.0119688
7	-8	-0.00751329	0.00977607
7.5	-8	-0.00690886	0.0077982
8	-8	-0.00638333	0.00600919
8.5	-8	-0.00596457	0.00437537
9	-8	-0.00567296	0.00285779
9.5	-8	-0.00552229	0.00141411
-9.5	-7.5	0.00535946	0.00114956
-9	-7.5	0.00575164	0.00236635
-8.5	-7.5	0.00632752	0.00370026
-8	-7.5	0.00707321	0.00520018
-7.5	-7.5	0.00796646	0.00691287
-7	-7.5	0.0089749	0.00888106
-6.5	-7.5	0.0100542	0.0111407
-6	-7.5	0.0111469	0.0137171
-5.5	-7.5	0.012182	0.0166205
-5	-7.5	0.0130765	0.0198401
-4.5	-7.5	0.0137394	0.0233389
-4	-7.5	0.0140777	0.027049
-3.5	-7.5	0.0140062	0.0308696
-3	-7.5	0.0134578	0.034669
-2.5	-7.5	0.0123943	0.0382918
-2	-7.5	0.0108148	0.041571
-1.5	-7.5	0.00875852	0.0443435
-1	-7.5	0.0063033	0.0464651
-0.5	-7.5	0.00355852	0.0478242
0	-7.5	0.000655627	0.0483498
0.5	-7.5	-0.00226266	0.0480165
1	-7.5	-0.00505318	0.0468458
1.5	-7.5	-0.00758327	0.0449047
2	-7.5	-0.0097415	0.0423013
2.5	-7.5	-0.0114474	0.0391757
3	-7.5	-0.0126582	0.035688
3.5	-7.5	-0.0133714	0.0320019
4	-7.5	-0.0136208	0.0282701
4.5	-7.5	-0.0134696	0.0246222
5	-7.5	-0.0129992	0.021157
5.5	-7.5	-0.0122989	0.0179415
6	-7.5	-0.0114573	0.0150119
6.5	-7.5	-0.0105553	0.0123787
7	-7.5	-0.00966313	0.0100319
7.5	-7.5	-0.00883833	0.00794633
8	-7.5	-0.00812618	0.00608637
8.5	-7.5	-0.00756071	0.0044095
9	-7.5	-0.00716628	0.00286904
9.5	-7.5	-0.00695899	0.00141595
-9.5	-7	0.00655982	0.0011697
-9	-7	0.00704774	0.00241035
-8.5	-7	0.00777231	0.00377867
-8	-7	0.00871854	0.00533151
-7.5	-7	0.00986173	0.00712512
-7	-7	0.0111647	0.00921356
-6.5	-7	0.0125749	0.0116458
-6	-7	0.0140218	0.0144615
-5.5	-7	0.0154155	0.0176844
-5	-7	0.0166475	0.0213151
-4.5	-7	0.0175947	0.0253222
-4	-7	0.0181279	0.029634
-3.5	-7	0.0181246	0.0341338
-3	-7	0.0174854	0.0386594
-2.5	-7	0.0161506	0.0430125
-2	-7	0.0141136	0.0469756
-1.5	-7	0.0114267	0.0503342
-1	-7	0.00819699	0.0529004
-0.5	-7	0.00457545	0.0545306
0	-7	0.000742262	0.0551349
0.5	-7	-0.00310799	0.0546822
1	-7	-0.00678027	0.053201
1.5	-7	-0.0100931	0.0507783
2	-7	-0.0128936	0.0475553
2.5	-7	-0.0150716	0.0437169
3	-7	-0.0165716	0.0394749
3.5	-7	-0.017396	0.035044
4	-7	-0.0176002	0.0306203
4.5	-7	-0.017279	0.0263633
5	-7	-0.0165507	0.0223883
5.5	-7	-0.0155405	0.0187654
6	-7	-0.0143683	0.0155251
6.5	-7	-0.0131404	0.0126664
7	-7	-0.0119456	0.0101652
7.5	-7	-0.0108544	0.00798197
8	-7	-0.00992016	0.00606788
8.5	-7	-0.00918191	0.00436904
9	-7	-0.00866652	0.00282933
9.5	-7	-0.00839133	0.00139191
-9.5	-6.5	0.00776981	0.00115904
-9	-6.5	0.0083606	0.00239211
-8.5	-6.5	0.00924868	0.00376285
-8	-6.5	0.0104197	0.00533665
-7.5	-6.5	0.0118485	0.00718076
-7	-6.5	0.0134956	0.00936326
-6.5	-6.5	0.0153021	0.0119504
-6	-6.5	0.0171854	0.0150017
-5.5	-6.5	0.0190356	0.0185624
-5	-6.5	0.0207143	0.0226528
-4.5	-6.5	0.0220583	0.0272549
-4	-6.5	0.0228893	0.0322985
-3.5	-6.5	0.0230315	0.03765
-3	-6.5	0.0223365	0.0431087
-2.5	-6.5	0.0207105	0.0484163
-2	-6.5	0.0181364	0.0532816
-1.5	-6.5	0.0146834	0.0574165
-1	-6.5	0.0104997	0.0605718
-0.5	-6.5	0.00579294	0.0625613
0	-6.5	0.000807249	0.0632725
0.5	-6.5	-0.00419649	0.0626675
1	-6.5	-0.00895704	0.0607829
1.5	-6.5	-0.013229	0.05773
2	-6.5	-0.0168029	0.0536933
2.5	-6.5	-0.0195278	0.0489202
3	-6.5	-0.0213312	0.0436968
3.5	-6.5	-0.0222259	0.0383121
4	-6.5	-0.0223015	0.0330219
4.5	-6.5	-0.0217016	0.0280249
5	-6.5	-0.0205972	0.0234526
5.5	-6.5	-0.0191621	0.0193737
6	-6.5	-0.0175562	0.015805
6.5	-6.5	-0.0159152	0.0127255
7	-6.5	-0.0143476	0.0100895
7.5	-6.5	-0.0129356	0.00783739
8	-6.5	-0.0117391	0.00590285
8.5	-6.5	-0.0107993	0.004218
9	-6.5	-0.0101434	0.00271575
9.5	-6.5	-0.00978832	0.00133089
-9.5	-6	0.00895193	0.00110508
-9	-6	0.00965155	0.00228578
-8.5	-6	0.0107168	0.00361181
-8	-6	0.0121365	0.00515696
-7.5	-6	0.0138883	0.00700034
-7	-6	0.0159343	0.00922653
-6.5	-6	0.0182134	0.0119237
-6	-6	0.0206339	0.0151789
-5.5	-6	0.0230666	0.0190691
-5	-6	0.0253399	0.0236473
-4.5	-6	0.0272404	0.0289229
-4	-6	0.028523	0.0348386
-3.5	-6	0.0289349	0.0412475
-3	-6	0.0282517	0.0479008
-2.5	-6	0.0263234	0.0544557
-2	-6	0.0231138	0.0605119
-1.5	-6	0.0187169	0.065672
-1	-6	0.0133418	0.0696012
-0.5	-6	0.00727618	0.072061
0	-6	0.000848469	0.0729147
0.5	-6	-0.00559755	0.0721182
1	-6	-0.0117178	0.0697157
1.5	-6	-0.0171828	0.0658444
2	-6	-0.0217034	0.0607421
2.5	-6	-0.025068	0.0547431
3	-6	-0.0271797	0.0482435
3.5	-6	-0.028071	0.0416415
4	-6	-0.0278874	0.035278
4.5	-6	-0.0268483	0.0293995
5	-6	-0.0252018	0.0241508
5.5	-6	-0.0231881	0.0195876
6	-6	-0.0210165	0.015699
6.5	-6	-0.0188559	0.0124312
7	-6	-0.0168338	0.00970648
7.5	-6	-0.0150411	0.00743765
8	-6	-0.0135395	0.00553641
8.5	-6	-0.012369	0.00391832
9	-6	-0.0115536	0.00250448
9.5	-6	-0.0111071	0.00122146
-9.5	-5.5	0.0100556	0.000995747
-9	-5.5	0.0108673	0.00206607
-8.5	-5.5	0.0121199	0.00328473
-8	-5.5	0.0138082	0.00473248
-7.5	-5.5	0.0159181	0.00650009
-7	-5.5	0.018419	0.0086903
-6.5	-5.5	0.0212545	0.0114178
-6	-5.5	0.0243308	0.0148059
-5.5	-5.5	0.027504	0.0189772
-5	-5.5	0.0305682	0.0240368
-4.5	-5.5	0.0332497	0.030045
-4	-5.5	0.0352139	0.0369794
-3.5	-5.5	0.0360937	0.0446932
-3	-5.5	0.0355447	0.0528816
-2.5	-5.5	0.0333216	0.0610809
-2	-5.5	0.0293528	0.0687223
-1.5	-5.5	0.0237727	0.0752392
-1	-5.5	0.0168887	0.0801777
-0.5	-5.5	0.00910644	0.0832427
0	-5.5	0.000864402	0.0842813
0.5	-5.5	-0.00739543	0.0832485
1	-5.5	-0.0152308	0.0801911
1.5	-5.5	-0.0222026	0.0752637
2	-5.5	-0.0279042	0.0687625
2.5	-5.5	-0.0320265	0.0611418
3	-5.5	-0.0344327	0.0529675
3.5	-5.5	-0.0351914	0.044807
4	-5.5	-0.0345435	0.0371217
4.5	-5.5	-0.0328288	0.0302144
5	-5.5	-0.0304091	0.0242296
5.5	-5.5	-0.027614	0.0191879
6	-5.5	-0.0247126	0.0150276
6.5	-5.5	-0.0219077	0.0116426
7	-5.5	-0.0193411	0.00890944
7.5	-5.5	-0.0171057	0.00670463
8	-5.5	-0.0152584	0.00491333
8.5	-5.5	-0.0138312	0.00343288
9	-5.5	-0.0128403	0.00217284
9.5	-5.5	-0.0122928	0.00105291
-9.5	-5	0.011018	0.000820793
-9	-5	0.0119405	0.00171111
-8.5	-5	0.0133833	0.00274515
-8	-5	0.0153518	0.00400751
-7.5	-5	0.0178462	0.00559851
-7	-5	0.0208521	0.00763893
-6.5	-5	0.0243289	0.0102734
-6	-5	0.0281932	0.0136701
-5.5	-5	0.0322975	0.0180146
-5	-5	0.0364077	0.0234913
-4.5	-5	0.040183	0.0302487
-4	-5	0.0431713	0.0383421
-3.5	-5	0.0448371	0.0476579
-3	-5	0.0446393	0.0578369
-2.5	-5	0.0421641	0.0682412
-2	-5	0.0372721	0.0780271
-1.5	-5	0.0301723	0.0863485
-1	-5	0.0213454	0.0925873
-0.5	-5	0.0113798	0.0964078
0	-5	0.00085423	0.0976759
0.5	-5	-0.00968776	0.0963613
1	-5	-0.0197026	0.0924978
1.5	-5	-0.0286114	0.0862227
2	-5	-0.0358253	0.0778745
2.5	-5	-0.040863	0.0680725
3	-5	-0.0435145	0.0576629
3.5	-5	-0.0439167	0.0474881
4	-5	-0.04248	0.0381837
4.5	-5	-0.0397405	0.0301068
5	-5	-0.0362283	0.0233687
5.5	-5	-0.0323901	0.017912
6	-5	-0.0285619	0.0135872
6.5	-5	-0.0249741	0.0102086
7	-5	-0.0217717	0.00759027
7.5	-5	-0.0190372	0.00556343
8	-5	-0.0168113	0.00398343
8.5	-5	-0.0151095	0.00272961
9	-5	-0.0139336	0.00170201
9.5	-5	-0.0132799	0.000816601
-9.5	-4.5	0.0117667	0.000573467
-9	-4.5	0.0127917	0.00120588
-8.5	-4.5	0.0144163	0.0019664
-8	-4.5	0.0166616	0.0029381
-7.5	-4.5	0.0195495	0.00422593
-7	-4.5	0.0230938	0.00596528
-6.5	-4.5	0.0272856	0.00833055
-6	-4.5	0.032072	0.0115418
-5.5	-4.5	0.0373252	0.015865
-5	-4.5	0.0428023	0.0215992
-4.5	-4.5	0.0481004	0.029038
-4	-4.5	0.0526231	0.0383907
-3.5	-4.5	0.0555885	0.0496539
-3	-4.5	0.056128	0.0624472
-2.5	-4.5	0.0535119	0.075887
-2	-4.5	0.04746	0.0886521
-1.5	-4.5	0.0383328	0.0993867
-1	-4.5	0.0269481	0.107256
-0.5	-4.5	0.014195	0.111963
0	-4.5	0.000817912	0.113491
0.5	-4.5	-0.0125735	0.111865
1	-4.5	-0.0253694	0.107065
1.5	-4.5	-0.0368259	0.0991129
2	-4.5	-0.0460544	0.0883096
2.5	-4.5	-0.0522381	0.0754928
3	-4.5	-0.0550171	0.0620187
3.5	-4.5	-0.0546705	0.0492069
4	-4.5	-0.0519248	0.0379385
4.5	-4.5	-0.0476439	0.0285915
5	-4.5	-0.0426039	0.021167
5.5	-4.5	-0.0373954	0.015454
6	-4.5	-0.0324161	0.0111578
6.5	-4.5	-0.0279046	0.00797873
7	-4.5	-0.0239863	0.00565008
7.5	-4.5	-0.0207126	0.00395163
